Category ID;Active (0/1);Name *;Parent category;Root category (0/1);Description;Meta title;Meta keywords;Meta description;URL rewritten;Image URL
3;1;Homme;Accueil;0;Retrouvez nos coups de cœur mode, une sélection de pièces tendances à intégrer à votre garde-robe. Composez un style unique qui vous ressemble.;;;;homme;
4;1;Femme;Accueil;0;Vous cherchez des pièces modes pour femme, des grandes marques et des petits prix ? Nous proposons des promos toute l'année. Découvrez les dernières tendances de la mode en robe, pull, manteau, pantalon, jean, sweat, tee-shirt, veste et mini jupe. Nouvelle collection hiver ou été : il n'y a pas de saison pour se faire plaisir. À la recherche d'une ligne de vêtement original plutôt cuir rock, dentelle, classique chic, vintage ou ethnique ? Un large catalogue de matières, de couleurs et de tailles pour l'achat de vos vêtements femme. Régulièrement, les ventes flash sont une occasion idéale pour dénicher des vêtements de mode à petit prix. Pour des vêtements femme pour un look chic et tendance, retrouvez des articles de marques de prêt-à-porter telles que Fila, Oysho, Dolce & Gabbana, Levi's et Mango. Vous êtes en manque de confiance et ne savez pas quel modèle vous allez adopter pour votre nouvelle garde-robe ? Pas de panique, découvrez nos conseils pour bien choisir vos vêtements féminins. Pour créer votre style et avoir un look unique, rien de tel que vous inspirer des articles de notre blog ou des looks des célébrités ! Côté lingerie, trouvez des hauts, des bas et bien d'autres pièces de lingerie tendances pour femme. Les petites culottes sont des vêtements basiques indispensables pour les femmes qu'il faut choisir avec délicatesse pour être à l'aise toute la journée. Cependant, pour les soutiens-gorge, depuis quelques années, il est possible de les remplacer par des brassières confortables ou de ne plus en porter pour les petites poitrines. Aussi, sur notre site internet, vous pouvez choisir vos chaussures pour femmes parmi les modèles les plus tendances. D'autres articles de mode sont également à votre disposition comme les accessoires, les bijoux, le maquillage et la coiffure. Avec ces conseils, vous pourrez trouver des vêtements femme pour toutes les saisons en un clin d'œil. Si vous cherchez des collections tendances pour les grandes tailles, n'hésitez pas à explorer la catégorie dédiée : de nombreuses marques sont disponibles avec beaucoup de coupes et de coloris tendances. Il existe plusieurs moyens pour suivre les tendances modes. Les nouvelles collections sont régulièrement annoncées sur les réseaux sociaux. Vous pourrez ainsi partager avec nous vos découvertes et looks. ;;;;femme;
5;1;Ado;Accueil;0;Votre fille ou votre fils apprécie s’habiller selon les dernières tendances et c’est tout à fait normal, alors faites-lui plaisir avec notre sélection de vêtements ado, qui saura à coup sûr le ravir. C’est en effet un large catalogue produit qui s’offre à vous pour habiller votre ado de 10 ans à 16 ans. De plus, nous disposons dans notre boutique en ligne de grandes marques comme Nike, Levi’s, Superdry, Tommy Hilfiger, etc. Nous vous proposons également notre propre ligne de produits : La Redoute Collections avec les pièces aux couleurs et formes les plus tendances. Pour les filles, retrouvez des t-shirts et chemisiers, des robes et des jupes, une large sélection de pantalons, de jean et de pulls. Il y a également un grand choix de vêtements pour les garçons comme des sweats, jeans, t-shirt, chemises, manteaux, etc. Nous avons également de nombreux modèles de chaussures type baskets, sandales ou encore des modèles plus classiques qui n’attendent qu’à être chaussés. Notre sélection de plusieurs milliers d’articles regroupe des produits pour toutes les saisons, vous trouverez de quoi habiller votre ado pour toutes les périodes de l’année, de la plus chaude à la plus fraîche. De plus, il y en a pour tous les goûts ! En achetant les vêtements de votre adolescent(e) chez La Redoute, vous ne ferez pas de faux pas et il ou elle sera ravi(e), nous vous le garantissons. Et n’oubliez pas, en cas d’erreur vous pouvez toujours nous retourner le produit. En effet, les retours sont gratuits dans les points Relais-Colis. Voici une petite sélection de styles qui font la fierté des ados : le style streetwear, le style slim ou encore le style casual. Les ados aiment généralement reproduire les looks de leurs célébrités favorites et des influenceurs célèbres sur les réseaux sociaux. Les sweats à capuche et les débardeurs sont tendances chez La Redoute. Le style streetwear avec ses couleurs vives se décline également en de nombreuses variantes, à associer avec des sneakers. Pour un look cool et décalé, optez pour cette veste en jean ou autre vêtement de couleur claire. Pour être à la mode côté fille, rien de tel qu’un jean boy-friends, mom ou slim pour passer partout. N'hésitez pas à choisir des jeans aux coupes plutôt classiques et intemporelles puis à compléter selon les tendances avec des coupes originales comme les coupes larges, pattes d'eph ou évasées. Vous êtes plutôt streetwear ou casual ? L'adolescence est généralement la période où on recherche son style, les fashion weeks, le blogs et pinterest sont l'occasion de s'inspirer pour détecter les tendances de demain, souvent les collections des marques en sont inspirées. Pour adopter le style streetwear, rien de tel que des tenues sportives et tendances. Les accessoires sont aussi un grand classique à accorder avec le style vestimentaire. ;;;;ado;
6;1;Enfant;Accueil;0;Tout d'abord, il faut rappeler que les vêtements enfants peuvent varier de couleurs et de motifs selon la saison. Quelle taille choisir pour un enfant ? Un vêtement enfant trop grand va créer des problèmes au niveau du port. Il est alors important de faire un ajustement au niveau du col et des poignets. Pour les petits, un tissu en coton est idéal pour leur apporter une touche de douceur. Rembourré, le tissu en coton est également de bonne qualité et évite les problèmes de peau. Il permet de protéger l'enfant des agressions extérieures et convient parfaitement aux bébés. Choisir des vêtements enfant en matière caractéristique est le choix de la durabilité. Les chaussures enfant sont également conçues pour le confort et la sécurité de l'enfant. L'idéal est d'opter pour des chaussures enfants qui soient à la fois pratiques et confortables. Ensuite, pour finaliser les tenues, vous pouvez aussi opter pour des accessoires colorés, qui seront assortis. Le chiffre inscrit sur l'étiquette du vêtement correspond à la taille de l'enfant mesurée en centimètres. Pour un enfant mesurant entre 123 et 128 cm par exemple, la taille 126 est généralement la plus adaptée. En cas de doute, préférez une taille plus grande. L'alternative est aussi de consulter le guide des tailles enfant ou bien de trouver un comparatif complet des différentes tailles. Il est possible d'échanger un vêtement enfant dans les 14 jours suivant l'achat. Cela permettra de faire un retour pour ajuster la taille. Pour des vêtements enfant plus grands, il est aussi possible de commander une taille au-dessus. Par exemple, les enfants peuvent vouloir porter un modèle ayant des manches plus longues pour un style plus loose, néanmoins un vêtement enfant trop grand risque de le gêner au quotidien et de lui faire faire des maladresses. À noter que l'enfant peut aussi vouloir changer de style selon ses envies. ;;;;enfant;
7;1;Déco;Accueil;0;De nos jours, il existe de nombreuses façons d’arranger son foyer, et c’est en s’aidant de la décoration qu’on peut le mieux y parvenir. Si vous avez envie d’offrir une jolie déco à votre intérieur, vous devrez prendre en compte certains éléments importants qui seront essentiels à son bon fonctionnement. La première chose que vous devrez faire c’est de déterminer ce que vous souhaitez mettre dans votre intérieur. Déterminez ce qui vous intéresse le plus et ensuite commencez à décorer votre intérieur en vous inspirant avec une image, une décoration qui correspondra parfaitement à vos goûts. Les couleurs que vous allez utiliser pour la décoration de votre intérieur sont également très importantes, car elles détermineront la forme que vous allez donner à votre intérieur. Plus vous les choisirez méticuleusement, plus vous aurez une décoration réussie et mieux votre intérieur sera en mesure de répondre à vos besoins. La décoration intérieure nécessite réflexions. Face aux multiples techniques, accessoires, et outils de déco disponibles, il faut faire des choix et concilier pratique et esthétisme. Par exemple, il est communément admis que le recours à la décoration peinture avec une couleur sombre, dans une pièce bénéficiant d'aucune lumière caractéristique, est peu recommandé. La décoration de la cuisine et la décoration du salon doivent inspirer l'envie d'être dans ses deux pièces de vie, car elles sont incontournables quotidiennement. Une décoration qui vous plaît dans toutes les pièces de la maison. La décoration d'intérieur comme d'extérieur est primordiale lorsque l'on s'installe dans un nouveau logement. C'est elle qui va vous permettre de vous sentir comme chez vous. ;;;;deco;
31;1;Vêtements Homme;Homme;0;Retrouvez le meilleur de la tendance vêtements Homme. Cultivez votre style avec nos vêtements, accessoires dédiés à la gente masculine. Il y en a pour tous les goûts ! Découvrez une large sélection de pantalons, pulls, chemises, tee-shirt au top de la mode. Ce sont de très nombreux modèles homme disponibles. Trouvez la tenue vestimentaire qu’il manque à votre garde-robe pour cet été ou cet hiver. Toutes les saisons, toutes les formes, toutes les matières sont disponibles dans notre catalogue. Qu’attendez-vous pour vous lancer ? ;;;;vetements-homme;
32;1;Sous-vêtements;Homme;0;Les sous-vêtements pour homme ont longtemps été négligés par les créateurs de mode. Aujourd'hui, on rencontre l'embarras du choix. Les boxers, shorties et autres caleçons sont disponibles dans des matières variées et arborent des couleurs et motifs classiques à originaux. Pyjama léger ou plus chaud, il convient de le choisir en fonction des saisons afin de permettre à la peau de respirer pendant le sommeil. De plus, le pyjama pour homme est une idée-cadeau tout à fait classique pour Noël ou la fête des Pères. ;;;;sous-vetements-homme;
33;1;Chaussures Homme;Homme;0;Messieurs, cet été on varie les plaisirs. Si les baskets sont toujours un incontournable du vestiaire masculin, on s'empresse d'adopter les boots, derbies et autres chaussures bateau qui vous assureront l'élégance en toutes circonstances. Les sneakers, aussi stylées que confortables ne déçoivent jamais qu'on les porte au sport ou à la ville. Toujours dans un esprit sport-chic, on adopte les baskets running parsemées de motifs multicolores façon art contemporain. Pour les sorties urbaines et les moments détente, on porte des bottines en cuir. Elégantes avec leur ligne authentique et leur silhouette dynamique, on les met au quotidien quel que soit notre style. Les derbies seront aussi de la partie, esprit citadin ou casual, on les aime pour le travail du cuir et leur ligne sobre. Le mocassin en cuir souple, mixé avec la ligne bateau sera très tendance pour vos escapades de week-end.Mocassins, boots, derbies, avec nos chaussures de ville, c'est l'élégance assurée. Habillées, les derbies vous permettront de rester chic même en plein soleil. Vous pouvez les porter pieds nus sans souffrir grâce à leur cuir souple. Pour ceux qui préfèrent le confort quelle que soit la situation, les joggers et autres chaussures de running seront parfaites. Indispensables, les tennis s'afficheront partout cet été. Chez La Redoute on aime les baskets basses et légères, en toile unie et à lacets avec leur semelle en gomme blanche. Elles seront un produit phare de la saison. Pour un look décontracté, comme en vacances, on opte pour les sandales et les chaussures de plage. On les associe au pantalon chino ou à un jean brut en fonction de l'effet recherché.;;;;chaussures-homme;
34;1;Sport Homme;Homme;0;Sous-vêtements, pantalons, chaussures, polo, accessoires, retrouvez les indispensables du sport pour homme pour pratiquer dans les meilleures conditions. Créez un équipement sport pour homme complet. Tennis, squash, course à pied, football, boxe, musculation… quelle que soit l’activité sportive pratiquée, vous avez besoin d’un équipement de sport pour homme complet et adapté. Conçu spécialement pour satisfaire les besoins des hommes sportifs, les vêtements, chaussures et accessoires de sport pour homme proposés sont confectionnés dans des matières aérées et agréables à porter. Les coupes des vêtements de sport pour homme sont soigneusement étudiées afin de vous garantir une grande liberté dans tous vos mouvements et d’éviter les frottements. Les chaussures de sport pour homme sont munies d’une semelle offrant un bon amorti, pour vous accompagner dans votre foulée et vous éviter toute blessure. Nike, Puma, Adidas, New Balance… les plus grandes marques sont réunies pour combler toutes les préférences. Complétez votre style et emportez tous vos essentiels à la salle de sport en vous munissant d’un sac à dos. Vous pourrez y glisser une serviette de bain ainsi que des vêtements de rechange, pour enchainer activité sportive et vie familiale ou professionnelle. Si la collection sport homme est destinée à vous suivre lors de votre activité sportive, elle peut aussi être portée au quotidien, pour un look urbain décontracté. Casquette et ceinture viennent alors compléter votre style avec succès.;;;;sport-homme;
41;1;Vêtements Femme;Femme;0;Craquez pour les dernières tendances femme. Choisissez vos futurs vêtements parmi une large sélection de vêtements grandes marques et tendances à découvrir sur notre magasin en ligne.Faites votre choix parmi notre étendue de vêtements pour femme, vous trouverez sur notre site tous les styles qui peuvent vous correspondre : bohème chic, grunge, rock, glamour, romantique etc. Vous vous procurerez sans aucun doute chez La Redoute la pièce mode tendance que vous recherchez. Ce sont en effet des dizaines de milliers d’articles qui vous sont présentés ici comme : des robes, t-shirt, pulls, jupes, jeans, et bien d’autres vêtements à la mode. Ces pièces vous permettront à coup sûr de composer votre style et de parfaire votre garde-robe. Sur notre magasin en ligne, nous avons des vêtements pour femme pour chaque période de l’année, de l’été à l’hiver en passant par le printemps et l’automne, à chaque saison ses vêtements et son style. Accordez-vous donc une séance de shopping en ligne sur notre boutique afin de vous offrir les vêtements qui vous font envie ! Que ça soit pour aller au travail avec un joli chemisier et un pantalon, aller en vacances avec un super maillot de bain ou simplement flâner le week-end en sweat et legging, nous avons assurément ce dont vous rêvez, et il y en a pour tous les budgets. Nous avons également de nombreux vêtements de sport femme afin que vous puissiez transpirer tout en étant stylée.Il est très important pour nous que toutes les femmes puissent trouver leur bonheur sur notre site, c’est pourquoi nous avons une gamme de taille très importante pour que n’importe quelle morphologie puisse y trouver son compte. De plus, nous avons également toute une panoplie de vêtements de maternité tendances, pour que vous, les futures mamans, ayez aussi la possibilité de vous faire plaisir. ;;;;vetements-femme;
